697	CLO_0001008	CL_0000817	UBERON_0002371	BTO_0001969	CL
CD14_Mono_1_2_healthy	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14_Mono_2_2_healthy	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14_Mono_2_3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14_Mono_2_4_healthy	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14_Mono_2_5_healthy	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14_monocyte_1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14_monocyte_PB	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14_monocytes	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14_Primary_Cells	-	CL_0001054	UBERON_0000178	-	CT
CD14+	-	CL_0001054	UBERON_0000178	-	CT
CD14+ monocyte (PB)	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocyte derived endothelial progenitor cells donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocyte derived endothelial progenitor cells donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocyte derived endothelial progenitor cells donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocyte_1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - mock treated donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - mock treated donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - mock treated donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with BCG donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with BCG donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with BCG donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with B-glucan donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with B-glucan donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with B-glucan donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Candida donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Candida donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Candida donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Cryptococcus donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Cryptococcus donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Cryptococcus donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Group A streptococci donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Group A streptococci donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Group A streptococci donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with IFN + N-hexane donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with IFN + N-hexane donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with IFN + N-hexane donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with lipopolysaccharide donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with lipopolysaccharide donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with lipopolysaccharide donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Salmonella donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Salmonella donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Salmonella donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Trehalose dimycolate (TDM) donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Trehalose dimycolate (TDM) donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ monocytes - treated with Trehalose dimycolate (TDM) donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ Monocytes donor1	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ Monocytes donor2	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+ Monocytes donor3	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+_monocyte	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14+CD16- Monocytes donor1	-	CL_0001055	UBERON_0000178	-	CT
CD14+CD16- Monocytes donor2	-	CL_0001055	UBERON_0000178	-	CT
CD14+CD16- Monocytes donor3	-	CL_0001055	UBERON_0000178	-	CT
CD14+CD16+ Monocytes donor1	-	CL_0002397	UBERON_0000178	-	CT
CD14+CD16+ Monocytes donor2	-	CL_0002397	UBERON_0000178	-	CT
CD14+CD16+ Monocytes donor3	-	CL_0002397	UBERON_0000178	-	CT
CD14-CD16+ Monocytes donor2	-	CL_0002396	UBERON_0000178	-	CT
CD14-CD16+ Monocytes donor3	-	CL_0002396	UBERON_0000178	-	CT
cd14-oxldl	-	CL_0001054	UBERON_0000178	-	CT
CD14-positive_monocyte	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD14-positive-monocyte	-	CL_0001054	UBERON_0000178	BTO_0000876	CT
CD15_Primary_Cells	-	CL_0000775	UBERON_0000178	BTO_0000130	CT
CD16_Mono	-	CL_0002397	UBERON_0000178	BTO_0000876	CT
CD19 Primary	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19_Primary	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19_Primary_Cells_Cord_BI	-	CL_0001201	UBERON_0012168	-	CT
CD19_Primary_Cells_Peripheral_UW	-	CL_0001201	UBERON_0000178	-	CT
CD19+	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19+ B Cells donor1	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19+ B Cells donor2	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19+ B Cells donor3	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19+_B_cells	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19+_B_cells_Activated_F	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19+_B_cells_Activated_M	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19+_B_cells_FL1-2	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19+_B_cells_FL3A	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19+_B_cells_nhl	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19+_B_cells_nhl_FL1-2	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD19+_CD10+_CD44low_CXCR4+_B_cells	-	CL_0001201	UBERON_0000178	-	CT
CD19donorA	-	CL_0001201	UBERON_0000178	BTO_0000776	CT
CD20	-	CL_0000945	UBERON_0000178	-	CT
CD20_B-cells	-	CL_0000945	UBERON_0000178	-	CT
CD20+	-	CL_0000945	UBERON_0000178	-	CT
CD25-_CD45RO+_mem_cells	-	CL_0000813	UBERON_0002405	-	CT
CD25-_IL17+_Th17_stim_cells	-	CL_0000899	UBERON_0002405	BTO_0005655	CT
CD25int_CD127+_Tmem	-	CL_0000813	UBERON_0002405	-	CT
CD3	-	CL_0002419	UBERON_0002405	-	CT
CD3_Primary_Cells	-	CL_0002419	UBERON_0002405	-	CT
CD3_Primary_Cells_Cord_BI	-	CL_0002419	UBERON_0012168	-	CT
CD3_Primary_Cells_Peripheral_UW	-	CL_0002419	UBERON_0002405	-	CT
CD34	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34 adult	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34 Erythroid cells_Don002	-	CL_0000764	UBERON_0002371	BTO_0002731	CT
CD34 Erythroid cells_Don003	-	CL_0000764	UBERON_0002371	BTO_0002731	CT
CD34 fetal	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34 Primary RO01480	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34 Primary RO01536	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34 Primary RO01549	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34_adult	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34_bone_marrow_cell-derived_erythroid_progenitors	-	CL_0000038	UBERON_0002371	-	CT
CD34_cells	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34_cells_ACY957	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34_cells_ADULT	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34_cells_DMSO	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34_cells_ERYTH_BIO	-	CL_0000764	UBERON_0002371	BTO_0002731	CT
CD34_cells_ERYTH_BMP	-	CL_0000764	UBERON_0002371	BTO_0002731	CT
CD34_cells_FETAL	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34_Cultured_Cells	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34_fetal	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34_hematopoietic_stem_cells	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34_hematopoietic_stem_cells-derived_proerythroblasts	-	CL_0000547	UBERON_0002371	-	CT
CD34_Primary_Cells	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34_Progenitors_R1	-	CL_0000038	UBERON_0002371	BTO_0004911	CT
CD34_Progenitors_R2	-	CL_0000038	UBERON_0002371	BTO_0004911	CT
CD34_stem_cells-derived_erythroblasts	-	CL_0000765	UBERON_0002371	-	CT
CD34+	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34+ cell_9d_differentiation	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34+ derived peripheral blood-derived mast cells	-	CL_0000097	UBERON_0000178	BTO_0000830	CT
CD34+ Hematopoietic stem/progenitor cells_12 days	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34+ stem cells - adult bone marrow derived donor1 tech_rep1	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD34+HSPC-derived-erythroid-precursors	-	CL_0000038	UBERON_0002371	BTO_0004911	CT
CD34CD133_hematopoietic_progenitors	-	CL_0000038	UBERON_0002371	-	CT
CD34-pos	-	CL_0000037	UBERON_0002371	BTO_0000725	CT
CD36_erythroid_cells	-	CL_0000038	UBERON_0002371	-	CT
CD36+	-	CL_0000038	UBERON_0002371	-	CT
CD4	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4 Memory Primary 7pool	-	CL_0000897	UBERON_0002405	-	CT
CD4 Memory Primary 8pool	-	CL_0000897	UBERON_0002405	-	CT
CD4 Naive Primary 7pool	-	CL_0000895	UBERON_0002370	-	CT
CD4 Naive Primary 8pool	-	CL_0000895	UBERON_0002370	-	CT
CD4/CD8 T cells	-	CL_0000084	UBERON_0000178	BTO_0000782	CT
CD4_ab_T	-	CL_0000624	UBERON_0002405	-	CT
CD4_ab_T_PB_1	-	CL_0000624	UBERON_0000178	-	CT
CD4_ab_T_PB_2	-	CL_0000624	UBERON_0000178	-	CT
CD4_ab_T_Th	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4_ab_T_VB	-	CL_0000624	UBERON_0000178	-	CT
CD4_CD25_ab_Treg_PB	-	CL_0000792	UBERON_0000178	-	CT
CD4_CD25_CD45RA_T-cells	-	CL_0000084	UBERON_0000178	-	CL
CD4_CD25-_T-cells	-	CL_0000084	UBERON_0000178	-	CL
CD4_M_1_healthy	-	CL_0000492	UBERON_0002405	BTO_0001678	CT
CD4_M_2_healthy	-	CL_0000492	UBERON_0002405	BTO_0001678	CT
CD4_M_3_healthy	-	CL_0000492	UBERON_0002405	BTO_0001678	CT
CD4_Memo	-	CL_0000897	UBERON_0002405	-	CT
CD4_Memory_Primary_Cells	-	CL_0000897	UBERON_0002405	-	CT
CD4_Naive	-	CL_0000895	UBERON_0002370	-	CT
CD4_Naive_Primary_Cells	-	CL_0000895	UBERON_0002370	-	CT
CD4_Primary_Cells	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4_T_cells	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4_T-cells	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4_TH1	-	CL_0000545	UBERON_0002405	BTO_0001678	CT
CD4_TH1_BAY	-	CL_0000545	UBERON_0002405	BTO_0001678	CT
CD4_TH1_DMSO	-	CL_0000545	UBERON_0002405	BTO_0001678	CT
CD4_TH2	-	CL_0000546	UBERON_0002405	BTO_0001679	CT
CD4+	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ ab T	-	CL_0000624	UBERON_0002405	-	CT
CD4+ ab T (PB)_1	-	CL_0000624	UBERON_0000178	-	CT
CD4+ ab T (PB)_2	-	CL_0000624	UBERON_0000178	-	CT
CD4+ ab T (Th)	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ ab T (VB)	-	CL_0000624	UBERON_0000178	-	CT
CD4+ CD25+ ab Treg (PB)	-	CL_0000792	UBERON_0000178	-	CT
CD4+ CD7- cells_CTCL1043	-	CL_0000084	UBERON_0000178	-	CT
CD4+ CD7- cells_CTCL992	-	CL_0000084	UBERON_0000178	-	CT
CD4+ cell_ROMI	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ cell_UNTREATED	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ cells_CTCL1126	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ cells_CTCL1135	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ cells_CTCL1137	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ cells_CTCL1145	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ cells_CTCL1181	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ cells_CTCL409	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ T Cell	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ T Cells donor1	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ T Cells donor2	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+ T Cells donor3	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4+_CD25-_CD45RA+_Naive_Primary_Cells	-	CL_0000898	UBERON_0002370	-	CT
CD4+_CD25-_CD45RO+_Memory_Primary_Cells	-	CL_0001204	UBERON_0002405	-	CT
CD4+_CD25-_IL17-_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	-	CL_0000492	UBERON_0002405	BTO_0001678	CT
CD4+_CD25-_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells	-	CL_0000899	UBERON_0002405	BTO_0005655	CT
CD4+_CD25-_Th_Primary_Cells	-	CL_0000492	UBERON_0002405	BTO_0001678	CT
CD4+_CD25+_CD127-_Treg_Primary_Cells	-	CL_0000815	UBERON_0002405	BTO_0004520	CT
CD4+_CD25int_CD127+_Tmem_Primary_Cells	-	CL_0000813	UBERON_0002405	-	CT
CD4+CD25+CD45RA- memory regulatory T cells donor1	-	CL_0002678	UBERON_0002405	-	CT
CD4+CD25+CD45RA- memory regulatory T cells donor2	-	CL_0002678	UBERON_0002405	-	CT
CD4+CD25+CD45RA- memory regulatory T cells donor3	-	CL_0002678	UBERON_0002405	-	CT
CD4+CD25+CD45RA- memory regulatory T cells expanded donor1	-	CL_0002678	UBERON_0002405	-	CT
CD4+CD25+CD45RA- memory regulatory T cells expanded donor2	-	CL_0002678	UBERON_0002405	-	CT
CD4+CD25+CD45RA- memory regulatory T cells expanded donor3	-	CL_0002678	UBERON_0002405	-	CT
CD4+CD25+CD45RA+ naive regulatory T cells donor3	-	CL_0002677	UBERON_0002370	-	CT
CD4+CD25+CD45RA+ naive regulatory T cells expanded donor1	-	CL_0002677	UBERON_0002370	-	CT
CD4+CD25-CD45RA- memory conventional T cells donor3	-	CL_0000813	UBERON_0002405	-	CT
CD4+CD25-CD45RA- memory conventional T cells expanded donor1	-	CL_0000813	UBERON_0002405	-	CT
CD4+CD25-CD45RA+ naive conventional T cells donor1	-	CL_0000898	UBERON_0002370	-	CT
CD4+CD25-CD45RA+ naive conventional T cells donor2	-	CL_0000898	UBERON_0002370	-	CT
CD4+CD25-CD45RA+ naive conventional T cells donor3	-	CL_0000898	UBERON_0002370	-	CT
CD4+CD25-CD45RA+ naive conventional T cells expanded donor1	-	CL_0000898	UBERON_0002370	-	CT
CD4+CD25-CD45RA+ naive conventional T cells expanded donor2	-	CL_0000898	UBERON_0002370	-	CT
CD4+CD25-CD45RA+ naive conventional T cells expanded donor3	-	CL_0000898	UBERON_0002370	-	CT
CD4+CD8+	-	CL_0000084	UBERON_0000178	BTO_0000782	CT
CD4donorE	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4p CD225int CD127p Tmem	-	CL_0000813	UBERON_0002405	-	CT
CD4p CD25- CD45RAp Naive	-	CL_0000898	UBERON_0002370	-	CT
CD4p CD25- CD45ROp Memory	-	CL_0001204	UBERON_0002405	-	CT
CD4p CD25- Il17- PMAstim Th	-	CL_0000492	UBERON_0002405	BTO_0001678	CT
CD4p CD25- Il17p PMAstim Th17	-	CL_0000899	UBERON_0002405	BTO_0005655	CT
CD4-pos	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4-positive helper T cell	-	CL_0000492	UBERON_0002405	BTO_0002417	CT
CD4-positive-alpha-beta-memory-T-cell	-	CL_0000897	UBERON_0002405	-	CT
CD56	-	CL_0000623	UBERON_0002405	-	CT
CD56_Primary_Cells	-	CL_0000623	UBERON_0002405	-	CT
CD56+ Natural Killer cells donor A	-	CL_0000623	UBERON_0002405	-	CT
CD8	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8 Memory 7pool	-	CL_0000909	UBERON_0002405	-	CT
CD8 Naive 7pool	-	CL_0000900	UBERON_0002370	-	CT
CD8 Naive 8pool	-	CL_0000900	UBERON_0002370	-	CT
CD8 primiary	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8_ab_T_CB	-	CL_0000625	UBERON_0000178	BTO_0000289	CT
CD8_ab_T_PB	-	CL_0000625	UBERON_0000178	BTO_0000289	CT
CD8_Effector	-	CL_0001050	UBERON_0002405	-	CT
CD8_EM_healthy	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8_H9	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8_H9RET	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8_H9RETR	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8_Memory_Primary_Cells	-	CL_0000909	UBERON_0002405	-	CT
CD8_Naive	-	CL_0000900	UBERON_0002370	-	CT
CD8_Naive_Primary_Cells	-	CL_0000900	UBERON_0002370	-	CT
CD8_primary	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8_Primary_Cells	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8_T_cells	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8_TEx_BCC	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8+	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8+ ab T (CB)	-	CL_0000625	UBERON_0000178	BTO_0000289	CT
CD8+ ab T (PB)	-	CL_0000625	UBERON_0000178	BTO_0000289	CT
CD8+ T Cells donor1	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8+ T Cells donor2	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8+ T Cells donor3	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8donorA	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8donorC	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
cd8-il2	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8-positive, alpha-beta T cell	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
CD8-positive-alpha-beta-T-cell	-	CL_0000625	UBERON_0002405	BTO_0000289	CT
cDC	-	CL_0000451	UBERON_0002405	BTO_0002042	CT
cDC_healthy	-	CL_0000451	UBERON_0002405	BTO_0002042	CT
Cells_EBV-transformed_lymphocytes	-	CL_0000542	UBERON_0000178	-	CT
Cells_Transformed_fibroblasts	-	CL_0000057	UBERON_0002384	-	CT
CEMC7A	-	CL_0000084	UBERON_0000178	-	CL
Central_Memo_CD8_T	-	CL_0000909	UBERON_0002405	-	CT
Cerebellum	-	CL_0002319	UBERON_0002037	BTO_0000232	A
Cerebellum	-	CL_0002319	UBERON_0002037	BTO_0000232	A
cerebellum - adult donor10196	-	CL_0002319	UBERON_0002037	BTO_0000232	A
cerebellum adult donor10252	-	CL_0002319	UBERON_0002037	BTO_0000232	A
cerebellum adult pool1	-	CL_0002319	UBERON_0002037	BTO_0000232	A
cerebral meninges adult	-	CL_0002319	UBERON_0003548	-	A
Cerebrum_Unk_3	-	CL_0002319	UBERON_0002037	BTO_0000232	A
cervical cancer cell line:D98-AH2	CLO_0002683	CL_0002535	UBERON_0000002	-	CL
cervical cancer cell line:ME-180	CLO_0007657	CL_1001575	UBERON_0000002	-	CL
cervical-cancer_KDM5C	-	CL_0002535	UBERON_0000002	-	CT
cervical-cancer_parental	-	CL_0002535	UBERON_0000002	-	CT
cervical-cancer_vector	-	CL_0002535	UBERON_0000002	-	CT
cervix adult pool1	-	CL_0002535	UBERON_0000002	-	A
CESC	-	CL_1001575	UBERON_0000002	BTO_0004223	CT
Cess	-	CL_0017006	UBERON_0000178	-	CL
CFPAC1	CLO_0002395	CL_0000083	UBERON_0001264	BTO_0004738	CL
CFPAC-1	CLO_0002395	CL_0000083	UBERON_0001264	BTO_0004738	CL
ChaGo-K-1	CLO_0002413	CL_0002328	UBERON_0002185	BTO_0003108	CL
Chang liver	CLO_0002415	CL_0000066	UBERON_0002107	BTO_0002049	CL
Cheek Cell	-	CL_0002336	UBERON_0006956	-	CT
CHL-1	CLO_0002420	CL_2000000	UBERON_0001003	BTO_0004061	CL
CHLA-10	-	CL_0001035	UBERON_0002481	-	CT
CHLA-25	-	CL_0001035	UBERON_0002481	-	CT
CHO	-	-	-	-	-
cholangiocellular carcinoma cell line:HuH-28	CLO_0050855	CL_1000488	UBERON_0002107	-	CL
Chondrocyte - de diff donor1	-	CL_0000138	UBERON_0002418	BTO_0000249	CT
Chondrocyte - de diff donor2	-	CL_0000138	UBERON_0002418	BTO_0000249	CT
Chondrocyte - de diff donor3	-	CL_0000138	UBERON_0002418	BTO_0000249	CT
Chondrocyte - re diff donor2	-	CL_0000138	UBERON_0002418	BTO_0000249	CT
Chondrocyte - re diff donor3	-	CL_0000138	UBERON_0002418	BTO_0000249	CT
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	-	CL_0000134	UBERON_0003104	-	CT
chondrosarcoma	-	CL_0001035	UBERON_0002481	BTO_0000250	CT
choriocarcinoma cell line:BeWo	CLO_0001935	CL_0000163	UBERON_0001987	BTO_0000798	CL
choriocarcinoma cell line:SCH	CLO_0037148	CL_0000351	UBERON_0000945	BTO_0005929	CL
choriocarcinoma cell line:T3M-3	CLO_0050641	CL_0000351	UBERON_0000088	-	CL
chorionic membrane cells donor1	-	-	UBERON_0003124	-	CT
chorionic membrane cells donor2	-	-	UBERON_0003124	-	CT
chorionic membrane cells donor3	-	-	UBERON_0003124	-	CT
choroid_plexus_epithelial_cell	-	CL_0000706	UBERON_0001886	-	CT
choroid-plexus	-	-	UBERON_0001886	-	A
CHP-126	CLO_0002472	CL_0000031	UBERON_0001016	BTO_0005254	CL
CHP-134	CLO_0051417	CL_0000165	UBERON_0002369	BTO_0002989	CL
CHP212	CLO_0002467	CL_0000031	UBERON_0000955	-	CT
CHRF	-	CL_0000542	UBERON_0000178	-	CL
CHRF28811	-	CL_0000553	UBERON_0002371	-	CL
Chromaffin_cell	-	CL_0000166	UBERON_0002369	BTO_0000259	CT
Chromaffin_intestine	-	CL_0000166	UBERON_0000160	BTO_0000259	CT
chronic lymphocytic leukemia (T-CLL) cell line:SKW-3	CLO_0009068	CL_0000084	UBERON_0000178	BTO_0006057	CL
chronic myeloblastic leukemia (CML) cell line:KCL-22	CLO_0009841	CL_0000763	UBERON_0000178	-	CL
chronic myelogenous leukemia (CML) cell line:MEG-A2	-	CL_0000553	UBERON_0002371	-	CL
chronic myelogenous leukemia cell line:K562	CLO_0007059	CL_0000763	UBERON_0002371	BTO_0000664	CL
chronic myelogenous leukemia cell line:K562 ENCODE biol_rep1	CLO_0007059	CL_0000763	UBERON_0002371	BTO_0000664	CL
chronic myelogenous leukemia cell line:K562 ENCODE biol_rep2	CLO_0007059	CL_0000763	UBERON_0002371	BTO_0000664	CL
chronic myelogenous leukemia cell line:K562 ENCODE biol_rep3	CLO_0007059	CL_0000763	UBERON_0002371	BTO_0000664	CL
chronic myelogenous leukemia cell line:KU812	CLO_0007125	CL_0000767	UBERON_0000178	BTO_0000732	CL
ChTRT	-	CL_0002252	UBERON_0001043	-	CL
Ciliary Epithelial Cells donor1	-	CL_0000067	UBERON_0007601	-	CT
Ciliary Epithelial Cells donor2	-	CL_0000067	UBERON_0007601	-	CT
Ciliary Epithelial Cells donor3	-	CL_0000067	UBERON_0007601	-	CT
Ciliated_cells_A	-	CL_0000064	UBERON_0002048	-	CT
Ciliated_cells_B	-	CL_0000064	UBERON_0002048	-	CT
Ciliated_cells_C	-	CL_0000064	UBERON_0002048	-	CT
Ciliated_cells_D	-	CL_0000064	UBERON_0002048	-	CT
Ciliated_cells_E	-	CL_0000064	UBERON_0002048	-	CT
Ciliated_cells_G	-	CL_0000064	UBERON_0002048	-	CT
Ciliated_cells_H	-	CL_0000064	UBERON_0002048	-	CT
Ciliated_epithelial_lung	-	CL_1000271	UBERON_0002048	-	CT
CiPSC	-	CL_0002248	-	-	CT
Circle of Willis_54y	-	-	UBERON_0003709	-	A
Circle of Willis_60y	-	-	UBERON_0003709	-	A
Circulating Monocytes Cell	-	CL_0000576	UBERON_0000178	BTO_0000876	CT
CJM	-	CL_0000148	-	-	CL
Clara	-	-	-	-	-
CLB-BER-Lud	-	CL_0000031	UBERON_0001016	-	CL
CLB-CAR	-	CL_0000031	UBERON_0001016	-	CL
CLB-Ga	-	CL_0000031	UBERON_0001016	-	CL
CLB-GA	-	CL_0000031	UBERON_0001016	-	CL
CLB-Ga_neuroblastoma	-	CL_0000031	UBERON_0001016	-	CL
CLB-GA-control	-	CL_0000031	UBERON_0001016	-	CL
CLB-GA-Dinaciclib_8h	-	CL_0000031	UBERON_0001016	-	CL
CLB-MA	-	CL_0000031	UBERON_0001016	-	CL
CLB-PE	-	CL_0000031	UBERON_0001016	-	CL
clear cell carcinoma cell line:JHOC-5	CLO_0051439	CL_2000064	UBERON_0000992	-	CL
clear cell carcinoma cell line:TEN	CLO_0050884	CL_0002149	UBERON_0001295	-	CL
Clear cell ovarian cancer	-	-	UBERON_0000992	BTO_0002787	CT
CLL	-	CL_0000542	UBERON_0002371	BTO_0001546	CT
CLL1239	-	CL_0000542	UBERON_0000178	-	CL
CLL1252	-	CL_0000542	UBERON_0000178	-	CL
CLL1863	-	CL_0000542	UBERON_0000178	-	CL
CLL1958	-	CL_0000542	UBERON_0000178	-	CL
